DATE,Open,High,Low,Close,Volume
1956-04-17,509.15,511.11,505.81,507.95,2330
1956-04-16,509.99,512.83,506.99,509.15,2310
1956-04-13,509.15,511.61,506.73,509.99,2450
1956-04-12,512.7,515.03,508.27,509.15,2700
1956-04-11,510.04,514.61,508.89,512.7,2440
1956-04-10,516.72,516.72,508.24,510.04,2590
1956-04-09,521.05,524.37,517.4,518.52,2760
1956-04-06,516.57,522.12,516.28,521.05,2600
1956-04-05,518.65,522.86,514.9,516.57,2950
1956-04-04,515.91,519.88,513.54,518.65,2760
1956-04-03,515.1,519.85,513.33,515.91,2760
1956-04-02,511.79,519.1,510.67,515.1,3120
1956-03-30,            na,            na,            na,            na,            na
1956-03-29,510.25,515.86,509.36,511.79,3480
1956-03-28,508.68,511.61,506.21,510.25,2610
1956-03-27,512.39,512.39,507.77,508.68,2540
1956-03-26,513.03,515.05,509.81,512.42,2720
1956-03-23,510.94,515.15,510.25,513.03,2980
1956-03-22,507.92,512.21,505.85,510.94,2650
1956-03-21,512.62,513.7,506.33,507.92,2930
1956-03-20,509.76,514.69,507.13,512.62,2960
1956-03-19,507.6,511.57,506.36,509.76,2570
1956-03-16,507.5,509.61,504.67,507.6,3120
1956-03-15,504.01,509.19,504.01,507.5,3270
1956-03-14,499.36,505.6,499.36,503.88,3140
1956-03-13,500.24,502.32,496.45,499.33,2790
1956-03-12,497.84,502.03,496.59,500.24,3110
1956-03-09,492.63,499.09,492.63,497.84,3430
1956-03-08,491.26,493.95,489.82,492.36,2500
1956-03-07,491.41,492.75,489.21,491.26,2380
1956-03-06,491.68,494.42,489.77,491.41,2770
1956-03-05,488.84,493.29,488.57,491.68,3090
1956-03-02,486.69,491.07,485.88,488.84,2860
1956-03-01,483.65,487.98,483.63,486.69,2410
1956-02-29,485.71,491.09,482.77,483.65,3900
1956-02-28,485,487.03,482.48,485.71,2540
1956-02-27,485.66,488.06,482.5,485,2440
1956-02-24,481.55,487.3,481.55,485.66,2890
1956-02-23,477.03,482.75,477.03,481.5,2900
1956-02-22,            na,            na,            na,            na,            na
1956-02-21,476.46,478.2,474.19,476.93,2240
1956-02-20,477.05,480.21,473.28,476.46,2530
1956-02-17,469.61,477.91,469.12,477.05,2840
1956-02-16,470.64,471.79,467.8,469.61,1750
1956-02-15,469.25,476.02,469.25,470.64,3000
1956-02-14,467.17,468.24,463.89,465.72,1590
1956-02-13,467.66,469.56,465.6,467.17,1420
1956-02-10,467.22,470.25,465.14,467.66,1770
1956-02-09,471.23,471.45,465.5,467.22,2080
1956-02-08,476.56,478.52,470.08,471.23,2170
1956-02-07,478.57,479.18,474.16,476.56,2060
1956-02-06,477.44,481.8,475.88,478.57,2230
1956-02-03,473.43,479.1,472.26,477.44,2110
1956-02-02,473.28,475.51,470.54,473.43,1900
1956-02-01,470.74,475.41,470.69,473.28,2010
1956-01-31,467.56,471.99,466.78,470.74,1900
1956-01-30,466.56,470.1,465.23,467.56,1830
1956-01-27,466.82,468.73,463.33,466.56,1950
1956-01-26,470.71,471.62,465.38,466.82,1840
1956-01-25,467.93,472.57,467.93,470.71,1950
1956-01-24,463.91,469.78,463.91,467.88,2160
1956-01-23,464.4,465.85,458.21,462.35,2720
1956-01-20,468.49,472.11,463.16,464.4,2430
1956-01-19,472.89,473.43,466.6,468.49,2500
1956-01-18,477.73,479.69,472.4,472.89,2110
1956-01-17,476.24,480.55,475.12,477.73,2050
1956-01-16,481.5,481.5,475.19,476.24,2260
1956-01-13,481.8,484.41,479.96,481.8,2120
1956-01-12,478.71,483.7,478.71,481.8,2330
1956-01-11,476.12,481.33,475.85,478.42,2310
1956-01-10,479.69,479.69,472.65,476.12,2640
1956-01-09,485.68,487.91,478.62,479.74,2700
1956-01-06,484.02,488.18,483.78,485.68,2570
1956-01-05,484,487.25,482.31,484.02,2110
1956-01-04,485.78,487.79,481.01,484,2290
1956-01-03,488.4,490.92,484.27,485.78,2390
1956-01-02,            na,            na,            na,            na,            na
1955-12-30,484.71,490.33,484.71,488.4,2820
